Document_ID,Canton,Index,Main_Category,Sub_Category,Person,Description_DE,canton,index,mainCategory,subcategory,person
SO_499,SO,499,Einkommen,Übertrag in Ziffer 600 (Transfer to number 600),,Total der Einkünfte (Total Income),SO,499,Einkommen,Übertrag in Ziffer 600 (Transfer to number 600),
SO_500,SO,500,Sonstiges,Person 1,Person 1,Berufsauslagen bei unselbständiger Erwerbstätigkeit (Employment Expenses for Dependent Employment),SO,500,Sonstiges,Person 1,Person 1
SO_501,SO,501,Sonstiges,Person 2,Person 2,Berufsauslagen bei unselbständiger Erwerbstätigkeit (Employment Expenses for Dependent Employment),SO,501,Sonstiges,Person 2,Person 2
SO_510,SO,510,Abzüge,Schuldzinsen,,Schuldzinsen (Debt Interest),SO,510,Abzüge,Schuldzinsen,
SO_520,SO,520,Abzüge,Unterhaltsbeiträge an den geschiedenen/getrennt lebenden Ehegatten (Maintenance contributions to divorced/separated spouse),,Unterhaltsbeiträge und Rentenleistungen (Maintenance Contributions and Pension Payments),SO,520,Abzüge,Unterhaltsbeiträge an den geschiedenen/getrennt lebenden Ehegatten (Maintenance contributions to divorced/separated spouse),
SO_521,SO,521,Abzüge,Unterhaltsbeiträge für Kinder bis zum Monat der Volljährigkeit (Maintenance contributions for children up to the month of reaching the age of majority),,Unterhaltsbeiträge und Rentenleistungen (Maintenance Contributions and Pension Payments),SO,521,Abzüge,Unterhaltsbeiträge für Kinder bis zum Monat der Volljährigkeit (Maintenance contributions for children up to the month of reaching the age of majority),
SO_525,SO,525,Abzüge,Dauernde Lasten und 40% der Leibrenten (Permanent burdens and 40% of life annuities),,Unterhaltsbeiträge und Rentenleistungen (Maintenance Contributions and Pension Payments),SO,525,Abzüge,Dauernde Lasten und 40% der Leibrenten (Permanent burdens and 40% of life annuities),
SO_530,SO,530,Abzüge,Person 1 effektiv einbezahlt CHF (effectively paid in CHF),Person 1,Beiträge an Einrichtungen der gebundenen Selbstvorsorge (Säule 3a),SO,530,Abzüge,Person 1 effektiv einbezahlt CHF (effectively paid in CHF),Person 1
SO_531,SO,531,Abzüge,Person 2 effektiv einbezahlt CHF (effectively paid in CHF),Person 2,Beiträge an Einrichtungen der gebundenen Selbstvorsorge (Säule 3a),SO,531,Abzüge,Person 2 effektiv einbezahlt CHF (effectively paid in CHF),Person 2
SO_540,SO,540,Abzüge,Versicherungsprämien / Zinsen von Sparkapitalien,,Versicherungsprämien / Zinsen von Sparkapitalien (Insurance Premiums / Interest on Savings Capital),SO,540,Abzüge,Versicherungsprämien / Zinsen von Sparkapitalien,
SO_550,SO,550,Abzüge,Einkäufe / Beiträge an die 2. Säule der Person 1 (Purchases / Contributions to the 2nd Pillar for Person 1),,Weitere Abzüge (Further Deductions),SO,550,Abzüge,Einkäufe / Beiträge an die 2. Säule der Person 1 (Purchases / Contributions to the 2nd Pillar for Person 1),
SO_551,SO,551,Abzüge,Einkäufe / Beiträge an die 2. Säule der Person 2 (Purchases / Contributions to the 2nd Pillar for Person 2),,Weitere Abzüge (Further Deductions),SO,551,Abzüge,Einkäufe / Beiträge an die 2. Säule der Person 2 (Purchases / Contributions to the 2nd Pillar for Person 2),
SO_560,SO,560,Abzüge,Kosten für die Vermögensverwaltung (Costs for asset management),,Weitere Abzüge (Further Deductions),SO,560,Abzüge,Kosten für die Vermögensverwaltung (Costs for asset management),
SO_565,SO,565,Abzüge,Behindertenbedingte Kosten (Disability-related costs),,Weitere Abzüge (Further Deductions),SO,565,Abzüge,Behindertenbedingte Kosten (Disability-related costs),
SO_570,SO,570,Abzüge,Durch Dritte betreute Kinder (Children cared for by third parties),,Weitere Abzüge (Further Deductions),SO,570,Abzüge,Durch Dritte betreute Kinder (Children cared for by third parties),
SO_575,SO,575,Abzüge,Weitere Abzüge; Bezeichnung: (Further deductions; description:),,Weitere Abzüge (Further Deductions),SO,575,Abzüge,Weitere Abzüge; Bezeichnung: (Further deductions; description:),
SO_580,SO,580,Abzüge,Massgebliche Beteiligungen (Relevant participations/shareholdings),,Weitere Abzüge (Further Deductions),SO,580,Abzüge,Massgebliche Beteiligungen (Relevant participations/shareholdings),
SO_585,SO,585,Abzüge,Parteibeiträge (Party membership fees/contributions),,Weitere Abzüge (Further Deductions),SO,585,Abzüge,Parteibeiträge (Party membership fees/contributions),
SO_590,SO,590,Abzüge,Berufsorientierte Aus- und Weiterbildung (Job-related education and training),,Weitere Abzüge (Further Deductions),SO,590,Abzüge,Berufsorientierte Aus- und Weiterbildung (Job-related education and training),
SO_595,SO,595,Abzüge,Abzug bei Erwerbstätigkeit beider Ehegatten (Deduction for employment of both spouses),,Weitere Abzüge (Further Deductions),SO,595,Abzüge,Abzug bei Erwerbstätigkeit beider Ehegatten (Deduction for employment of both spouses),
SO_599,SO,599,Abzüge,Total der Abzüge,,Total der Abzüge (Übertrag in Ziffer 605),SO,599,Abzüge,Total der Abzüge,
SO_600,SO,600,Einkommen,Total der Einkünfte (Übertrag von Ziffer 499),,Total der Einkünfte (Übertrag von Ziffer 499) (Total Income - Transfer from No. 499),SO,600,Einkommen,Total der Einkünfte (Übertrag von Ziffer 499),
SO_605,SO,605,Abzüge,Total der Abzüge (Übertrag von Ziffer 599),,Total der Abzüge (Übertrag von Ziffer 599) (Total Deductions - Transfer from No. 599),SO,605,Abzüge,Total der Abzüge (Übertrag von Ziffer 599),
SO_609,SO,609,Einkommen,Nettoeinkommen,,Nettoeinkommen (Net Income),SO,609,Einkommen,Nettoeinkommen,
SO_610,SO,610,Einkommen,Zuwendungen an gemeinnützige Institutionen (Donations to non-profit institutions),,Nettoeinkommen (Net Income),SO,610,Einkommen,Zuwendungen an gemeinnützige Institutionen (Donations to non-profit institutions),
SO_620,SO,620,Einkommen,Krankheits- und Unfallkosten (Illness and accident costs),,Nettoeinkommen (Net Income),SO,620,Einkommen,Krankheits- und Unfallkosten (Illness and accident costs),
SO_629,SO,629,Einkommen,Reineinkommen (Pure Income/Adjusted Gross Income),,Reineinkommen (Pure Income/Adjusted Gross Income),SO,629,Einkommen,Reineinkommen (Pure Income/Adjusted Gross Income),
SO_630,SO,630,Abzüge,für minderjährige od. in beruflicher Ausbildung stehende Kinder (for minor children or those undergoing vocational training),,Sozialabzüge (Social Deductions),SO,630,Abzüge,für minderjährige od. in beruflicher Ausbildung stehende Kinder (for minor children or those undergoing vocational training),
SO_635,SO,635,Abzüge,für unterstützte Personen (for supported persons),,Sozialabzüge (Social Deductions),SO,635,Abzüge,für unterstützte Personen (for supported persons),
SO_640,SO,640,Abzüge,für dauernd pflegebedürftige Personen (for persons requiring permanent care),,Sozialabzüge (Social Deductions),SO,640,Abzüge,für dauernd pflegebedürftige Personen (for persons requiring permanent care),
SO_645,SO,645,Abzüge,für Rentenbezüger mit ungenügendem Reineinkommen (for pensioners with insufficient Pure Income),,Sozialabzüge (Social Deductions),SO,645,Abzüge,für Rentenbezüger mit ungenügendem Reineinkommen (for pensioners with insufficient Pure Income),
SO_650,SO,650,Abzüge,"für Ehegatten, die in rechtlich und tatsächlich ungetrennter Ehe leben (for spouses legally and factually living in an unseparated marriage)",,Sozialabzüge (Social Deductions),SO,650,Abzüge,"für Ehegatten, die in rechtlich und tatsächlich ungetrennter Ehe leben (for spouses legally and factually living in an unseparated marriage)",
SO_690,SO,690,Einkommen,Steuerbares Einkommen im In- und Ausland,,Steuerbares Einkommen im In- und Ausland (Taxable Income at Home and Abroad),SO,690,Einkommen,Steuerbares Einkommen im In- und Ausland,
SO_695,SO,695,Einkommen,davon entfallen auf andere Kantone (of which are attributable to other cantons),,Steuerbares Einkommen im In- und Ausland (Taxable Income at Home and Abroad),SO,695,Einkommen,davon entfallen auf andere Kantone (of which are attributable to other cantons),
SO_696,SO,696,Einkommen,davon entfallen auf das Ausland (of which are attributable to foreign countries),,Steuerbares Einkommen im In- und Ausland (Taxable Income at Home and Abroad),SO,696,Einkommen,davon entfallen auf das Ausland (of which are attributable to foreign countries),
SO_699,SO,699,Einkommen,Steuerbares Einkommen im Kanton Solothurn bzw. in der Schweiz,,Steuerbares Einkommen im Kanton Solothurn bzw. in der Schweiz (Taxable Income in the Canton of Solothurn or in Switzerland),SO,699,Einkommen,Steuerbares Einkommen im Kanton Solothurn bzw. in der Schweiz,
SO_700,SO,700,Vermögen,Wertschriften und Guthaben,,Bewegliches Vermögen,SO,700,Vermögen,Wertschriften und Guthaben,
SO_720,SO,720,Vermögen,Anteil an Personengemeinschaften,,Bewegliches Vermögen,SO,720,Vermögen,Anteil an Personengemeinschaften,
SO_730,SO,730,Vermögen,Motorfahrzeuge Marke: Kaufpreis: Anschaffungsjahr:,,Bewegliches Vermögen,SO,730,Vermögen,Motorfahrzeuge Marke: Kaufpreis: Anschaffungsjahr:,
SO_740,SO,740,Vermögen,"Übrige Vermögenswerte, Bargeld, Gold und andere Edelmetalle; Bezeichnung",,Bewegliches Vermögen,SO,740,Vermögen,"Übrige Vermögenswerte, Bargeld, Gold und andere Edelmetalle; Bezeichnung",
SO_750,SO,750,Vermögen,Gebäude mit Umschwung,,Liegenschaften (Katasterschätzung),SO,750,Vermögen,Gebäude mit Umschwung,
SO_755,SO,755,Vermögen,Bauland,,Liegenschaften (Katasterschätzung),SO,755,Vermögen,Bauland,
SO_756,SO,756,Vermögen,Landwirtschaftsland / Wald,,Liegenschaften (Katasterschätzung),SO,756,Vermögen,Landwirtschaftsland / Wald,
SO_760,SO,760,Sonstiges,Aktiven Selbständigerwerbender (ohne Wertschriften und Liegenschaften),,Bewegliche Geschäftsaktiven,SO,760,Sonstiges,Aktiven Selbständigerwerbender (ohne Wertschriften und Liegenschaften),
SO_761,SO,761,Sonstiges,Anteil an Kollektiv- und Kommanditgesellschaften,,Bewegliche Geschäftsaktiven,SO,761,Sonstiges,Anteil an Kollektiv- und Kommanditgesellschaften,
SO_799,SO,799,Vermögen,Total der Vermögenswerte,,Total der Vermögenswerte,SO,799,Vermögen,Total der Vermögenswerte,
SO_800,SO,800,Schulden,Privatschulden,,Schulden,SO,800,Schulden,Privatschulden,
SO_810,SO,810,Schulden,Geschäftsschulden,,Schulden,SO,810,Schulden,Geschäftsschulden,
SO_900,SO,900,Vermögen,Reinvermögen,,Reinvermögen,SO,900,Vermögen,Reinvermögen,
SO_920,SO,920,Abzüge,für die anderen Steuerpflichtigen,,Sozialabzüge,SO,920,Abzüge,für die anderen Steuerpflichtigen,
SO_930,SO,930,Abzüge,für jedes Kind und jede erwerbsunfähige oder beschränkt erwerbsfähige Person,,Sozialabzüge,SO,930,Abzüge,für jedes Kind und jede erwerbsunfähige oder beschränkt erwerbsfähige Person,
SO_940,SO,940,Abzüge,für Rentenbezüger mit ungenügendem Reineinkommen und Reinvermögen,,Sozialabzüge,SO,940,Abzüge,für Rentenbezüger mit ungenügendem Reineinkommen und Reinvermögen,
SO_990,SO,990,Vermögen,Steuerbares Vermögen im In- und Ausland,,Steuerbares Vermögen im In- und Ausland,SO,990,Vermögen,Steuerbares Vermögen im In- und Ausland,
SO_995,SO,995,Vermögen,in anderen Kantonen oder im Ausland zu versteuerndes Vermögen,,Steuerbares Vermögen im In- und Ausland,SO,995,Vermögen,in anderen Kantonen oder im Ausland zu versteuerndes Vermögen,
SO_999,SO,999,Vermögen,Steuerbares Vermögen im Kanton Solothurn,,Steuerbares Vermögen im Kanton Solothurn,SO,999,Vermögen,Steuerbares Vermögen im Kanton Solothurn,
